title,url,category,date,content
San Francisco 49ers president touts AI as key to next-generation scouting ,https://www.cnbc.com/2025/02/07/san-francisco-49ers-president-ai-scouting.html,CNBC Sport,Feb 7 20251:44 PM EST,"
San Francisco 49ers quarterback Brock Purdy, the last pick in the 2022 National Football League draft, has become synonymous with flaws in NFL player evaluation. The team's president, Al Guido, hopes his organization can lean on artificial intelligence to improve talent assessment, both for football and for soccer.
Purdy, who led the 49ers to the Super Bowl last year, fell to the 262 overall pick, in part because scouting metrics failed to identify some of the traits that have made him a successful quarterback.
Scouting is even more difficult for soccer, Guido told CNBC Sport in an interview from Radio Row in New Orleans ahead of Super Bowl 59. (The 49ers' ownership group owns Leeds, the English football club.) That's because soccer is a global sport, played in dozens of leagues with various levels of competition.
""You could grow up anywhere and actually get on an English Premier League team,"" Guido said. ""So what are you thinking about from an advanced statistics perspective, to your scouting department, to how you us AI for all the different metrics that go into defining what a good player looks like?""
Marrying traditional scouting with ""the science,"" both for soccer and the NFL, has become a core tenet of the 49ers' evaluation process, said Guido.
Purdy is up for a contract extension this off-season. Guido declined to offer a timeline for a new deal, though he did say, ""I'm sure it'll get itself worked out."""
AEW CEO Tony Khan says he wants to keep the company private,https://www.cnbc.com/2025/02/07/aew-ceo-tony-khan-keep-company-private.html,CNBC Sport,Feb 7 20251:29 PM EST,"
All Elite Wrestling, the upstart professional wrestling league, will remain a privately held family business instead of pursuing an initial public offering, according to founder and co-owner Tony Khan.
Khan told CNBC Sport he had no interest in going public because he wants to pass the league down to his kids — who haven't been born yet.
""I want to build,"" said the 42-year-old Khan. ""I'm still a relatively young executive and someday, I'd like to have a family, and hopefully they can work in the business. It's a family business.""
AEW has grown in recent years, buoyed by a new TV and streaming deal with Warner Bros. Discovery. The league competes with TKO Group's WWE for talent."
Meet the new top lawyers for the wealthy’s most complicated divorces ,https://www.cnbc.com/2025/02/07/the-top-lawyers-for-the-wealthys-most-complicated-divorces.html,Inside Wealth,Feb 7 20259:00 AM EST,"
A version of this article first appeared in CNBC's Inside Wealth newsletter with Robert Frank, a weekly guide to the high-net-worth investor and consumer. Sign up to receive future editions, straight to your inbox.
Last week, Dan Rottenstreich’s law firm got an unusual case."
NCAA bars transgender women from competing in women's sports,https://www.cnbc.com/white-house/,NaN,NaN,NaN
E.l.f. Beauty CEO says company is 'relieved' China tariffs are only 10%,https://www.cnbc.com/retail/,NaN,NaN,NaN
"E.l.f. Beauty stock tanks after retailer cuts guidance, citing 'soft' January",https://www.cnbc.com/retail/,NaN,NaN,NaN
Bank stocks pop after Fed releases 'easier' 2025 stress test parameters,https://www.cnbc.com/2025/02/06/bank-stocks-fed-stress-test.html,Finance,Feb 6 20251:02 PM EST,"
Bank shares rose Thursday after the Federal Reserve released parameters for its annual industry stress test showing smaller hypothetical shocks to the U.S. economy than in previous years.
While still challenging, with U.S. joblessness jumping to 10% and a 33% drop in home prices, the 2025 exam has smaller spikes in unemployment and smaller declines in stock and real estate values than previous versions, Jason Goldberg of Barclays said Thursday in a note titled ""2025 Stress Test: Scenarios Easier than Past Two Years.""
The Fed will soon take steps to ""reduce the volatility of stress test results and begin to improve model transparency"" in the 2025 exam, the regulator said in a statement released Wednesday after the close of regular trading.
Shares of Citigroup jumped 2.9% in midday trading, while Goldman Sachs, Morgan Stanley and Bank of America each rose at least 1.5%. Big banks gained more than smaller lenders, with the KBW Bank Index rising 1.2% compared with the 0.9% gain of the S&P Regional Banking ETF.
The stress test changes bolster the case made by Wall Street analysts that big U.S. banks will face a friendlier regulatory regime under the Trump administration. Since the aftermath of the 2008 financial crisis, the biggest U.S. banks have had to undergo annual exams that test their ability to withstand a severe recession while continuing to lend to consumers and businesses.
Banks have complained for years that the annual stress tests were opaque and unfairly administered, and industry trade groups sued the Fed in December over the exam.
By making the latest iteration of the test both less challenging and more predictable, banks could hold smaller capital cushions later this year, according to Bank of America analyst Ebrahim Poonawala.
""The 2025 stress test scenario, broadly better vs last year, increases our confidence that banks should begin to see relief on regulatory capital requirements, given our expectations for a shift to a balanced, transparent, and more predictable regulatory regime,"" Poonawala wrote Thursday in a note.
— CNBC's Michael Bloom contributed to this report."
How Calvin Klein and Tommy Hilfiger got caught in Trump's trade war with China,https://www.cnbc.com/2025/02/06/calvin-klein-owner-pvh-blacklisted-in-china.html,Retail,Feb 6 20258:13 AM EST,"
In this article
China has blacklisted the owner of Calvin Klein and Tommy Hilfiger, which could force the company to shut down stores and manufacturing in an early repercussion of President Donald Trump's trade war. 
China added PVH Corp. to its ""unreliable entities"" list on Tuesday, which allows the Chinese government to fine the retailer, prohibit import and export activities, revoke work permits, and deny employees the ability to enter the country, among other deliberately vague powers. 
While China's Ministry of Commerce began investigating PVH in September for allegedly refusing to source cotton from the Xinjiang region, which has become notorious for its Uyghur detention camps, Beijing officially placed the company on its blacklist on Tuesday. The announcement came just days after Trump slapped a 10% tariff on imports from China, and came along with a slew of other retaliatory measures against the U.S., including new duties on energy imports and farm gear. 
""There's this tit-for-tat trade war going on, and [China] wants to show the United States that it's going to take action to hurt either big U.S. companies or companies with significant interests in the U.S.,"" said Michael Kaye, a partner at Squire Patton Boggs, who has been practicing international trade law for more than 30 years. ""They're being made an example. ... My guess is, [China] wanted to pick somebody and they wanted it to be somebody that was high visibility.""
Now that PVH is on the unreliable entities list, China could force the company to shut down the dozens of stores that it operates in the region and forbid it from selling its wares to Chinese consumers online, said Kaye. Its staff — including those who've built lives in China — could be effectively deported and sent home, Kaye added.
It is unclear if China would try to enforce actions against PVH in the autonomous region of Hong Kong, where the company's Asia-Pacific headquarters are. In 2020, China passed a law that gave it more power to enforce national laws in Hong Kong, and that is ""particularly the case with laws applicable to national security,"" which could include the unreliable entities list, said Kaye.
As of Thursday morning Eastern time, the company appeared to be operating its business as usual in China.
China could even prohibit PVH from manufacturing in the region altogether, which could force it to move production to other countries and struggle to meet customer orders. 
It's unclear which steps exactly China will take, or if the Trump administration will try to convince China not to punish the company.
In a statement, PVH said that it was ""surprised and deeply disappointed to learn of the decision from the Chinese Ministry of Commerce.""
""In our 20 years of operating in China and proudly serving our consumers, as a matter of policy, PVH maintains strict compliance with all relevant laws and regulations and operates in line with established industry standards and practices. We will continue our engagement with relevant authorities and look forward to a positive resolution,"" the company said.
China represented 6% of PVH's sales and 16% of its earnings before interest and taxes in 2023, but it relies more heavily on the country for manufacturing, which is the bigger risk to its business. PVH has more factories and suppliers in China than in any other region, representing about 18% of production, according to a disclosure it issued in December. 
""This has the potential to be very, very disruptive for PVH,"" said GlobalData managing director and retail analyst Neil Saunders. ""They would certainly have to scramble to find new capacity. They'd be able to do that in time, of course, but the two things that are at issue are that, because a lot of supply chains are just in time, they would probably find that they did get short on inventory whilst they made the transition. The other issue, of course, is quality."" 
PVH has operated in China for more than 20 years, and while it works with suppliers and factories in more than 30 other countries, the higher-end goods that it makes can be difficult to manufacture elsewhere because of the skill level needed, said Saunders. 
""While you can shift manufacturing capacity reasonably easily, it's not so easy to guarantee the quality, guarantee the production processes. Those things take time to upskill,"" said Saunders. ""China has that capacity and has those skills, because PVH has been operating there for ages. Another country, another manufacturing facility, may not have those skills immediately."" 
Plus, PVH has viewed China as a growth market and it will now have to look for new strategies to increase sales and profitability as demand falls for its high-end dresses, intimate apparel and sweaters. 
China's unreliable entities list is a relatively new law in the country, and experts say it's deliberately opaque. The government has wide latitude to take action against PVH, but it remains unclear what exactly it will do. Typically, guidance comes within a few days of a company's placement on the blacklist, said Kaye. 
China could add PVH to the list and do nothing to the company, but Kaye said the chances of that are ""very slim"" because the government will want to avoid the perception that it's backing down. China will more likely use PVH as a bargaining chip at the negotiating table with Trump, and use it as an example to show the power it has to inflict pain on other U.S. businesses with major operations and customer bases in China, such as Nike, Apple, General Motors, Starbucks and others. 
""There's a sort of sword of Damocles hanging over [PVH's] head, and that is exactly what this is, because this isn't really about PVH at all. This is about PVH being caught in the spat between China and the U.S.,"" said Saunders. ""China is using PVH as an example to say, look, if tariffs go ahead, if other restrictions are put in place on China, we can make life difficult for U.S. companies in the country. That's really what this is about."""
"New Orleans prepares for Super Bowl 59, its biggest weekend of the year ",https://www.cnbc.com/2025/02/06/super-bowl-59-new-orleans-prepares-for-blockbuster-weekend.html,CNBC Sport,Feb 6 20251:42 PM EST,"
In this article
New Orleans is preparing for an estimated 125,000 visitors and a presidential visit during the weekend of Super Bowl 59, as the reigning champion Kansas City Chiefs take on the Philadelphia Eagles at the Caesars Superdome.
Local businesses are ready, and hotel demand is surging.
Tripadvisor said demand for hotel rooms in New Orleans surged 637% this week as fans of the competing NFL teams scurry to find lodging. Interest from travelers in Pennsylvania and New Jersey has increased more than 14 times, and interest from people in Kansas and Missouri is up 8.5 times since the division championship games in the last week of January, the travel site said.
As of Thursday morning, the average hotel room was going for $650 per night, according to Hotels.com, which is owned by Expedia.
Caesars has the spotlight, however. Along with naming rights to the New Orleans Saints' stadium, where the NFL championship will be played, Caesars also holds lucrative status as the only casino in New Orleans.
The company has rolled out the red carpet with a nearly half-billion-dollar overhaul of what was formerly a Harrah's-branded property, and it is using the big game to introduce the brand to new customers.
The biggest football game of the year comes just weeks after a New Year's Day attack that took place in the city's French Quarter and killed 14 people, putting New Orleans on high alert.
Security around town is tight. State police, city police and the U.S. Department of Homeland Security all have a heavy presence.
At an NFL briefing on Monday, law enforcement said more than 700 different types of Homeland Security officials will be on the ground during the Super Bowl, and that was before President Donald Trump indicated plans to attend the game.
""I am confident that the safest areas to be in the country this weekend is under the security umbrella our team has put together,"" said Cathy Lanier, the NFL's chief security officer.
Since the Jan. 1 attack in New Orleans, NFL Executive Vice President Jeff Miller said the league has redoubled its safety efforts.
""We added resources, and we feel really good about where we are,"" Miller told CNBC."
Denver Broncos president Damani Leech praises NFL's diversity commitment ,https://www.cnbc.com/sport/,NaN,NaN,NaN
Former New Orleans Saints quarterback Drew Brees hints at return to broadcasting,https://www.cnbc.com/sport/,NaN,NaN,NaN
"Shares of Coach parent Tapestry spike 12%, as holiday sales soar",https://www.cnbc.com/retail/,NaN,NaN,NaN
Eli Lilly to release late-stage data on weight loss drug retatrutide in 2025,https://www.cnbc.com/2025/02/06/eli-lilly-to-release-weight-loss-drug-retatrutide-data-in-2025.html,Health and Science,Feb 6 20257:40 AM EST,"
In this article
Eli Lilly on Thursday said it expects to release data from a late-stage trial on its next-generation weight loss drug retatrutide later this year, a few months earlier than anticipated. 
The company expects to provide results from a 68-week study in people with obesity and osteoarthritis of the knee in 2025, according to fourth-quarter earnings slides on its website. Eli Lilly previously said that phase three study was expected to finish in February 2026. 
It is among at least nine closely watched clinical trials on retatrutide, which works differently from the obesity and diabetes treatments on the market and appears to be even more effective at weight loss. 
""We believe this potential new medicine can deliver even more weight loss than tirzepatide and it could potentially provide additional health benefits,"" Daniel Skovronsky, Lilly's chief scientific and medical officer, said during an earnings call on Thursday.
Retatrutide is a key part of Eli Lilly's drug pipeline that could help the company maintain its dominance in the blockbuster weight loss and diabetes treatment space and gain an edge over key competitor Novo Nordisk.
Dubbed the ""triple G"" drug, retatrutide works by mimicking three hunger-regulating hormones: GLP-1, GIP and glucagon. That appears to have more potent effects on a person's appetite and satisfaction with food than other treatments.
Tirzepatide, the active ingredient in Eli Lilly's weight loss shot Zepbound and diabetes drug Mounjaro, mimics two of the hormones, GLP-1 and GIP. Novo Nordisk's weight loss drug Wegovy mimics only GLP-1.
Retatrutide appears to cause even greater weight loss than tirzepatide, which has skyrocketed in demand in the U.S.
Retatrutide helped patients lose 24.2% of their body weight, or 58 pounds, on average after 48 weeks in a midstage trial on adults who were obese or overweight. Those who took the placebo lost 2.1% of their body weight after that same time period.
Higher doses of tirzepatide helped patients with obesity lose up to 22.5% of their body weight on average in late-stage studies.
— CNBC's Angelica Peebles contributed to this report."
Strong Taco Bell sales fuel Yum Brands earnings beat,https://www.cnbc.com/2025/02/06/yum-brands-yum-earnings-q4-2024.html,Restaurants,Feb 6 20257:22 AM EST,"
In this article
Yum Brands on Thursday reported quarterly earnings and revenue that beat Wall Street estimates, fueled by strong sales for KFC's international restaurants and Taco Bell.
Shares of the company rose more than 7% in morning trading.
Here's what the company reported compared with what Wall Street was expecting, based on a survey of analysts by LSEG:
The restaurant company reported fourth-quarter net income of $423 million, or $1.49 per share, down from $463 million, or $1.62 per share, a year earlier. Excluding refranchising gains and other items, Yum earned $1.61 per share.
Net sales climbed 16% to $2.36 billion. More than half of Yum's quarterly sales were digital, which includes online and delivery orders and those placed through in-store kiosks.
Yum's same-store sales rose 1% in the quarter, thanks to Taco Bell.
Taco Bell reported same-store sales growth of 5%. Executives have previously credited the chain's strong value perception for its success in recent quarters.
KFC's same-store sales were flat for the quarter, but the fried chicken chain saw stronger demand outside of the U.S. For example, in China, its largest market, KFC's system sales increased 5% in the quarter. Europe and Latin America reported double-digit system sales growth. The chain's international same-store sales rose 1% overall in the quarter.
Meanwhile, in its home market, KFC's U.S. same-store sales slid 5%. Popeyes has overtaken KFC to become the second-biggest chicken chain in the U.S., and other upstarts, like Raising Cane's, have been growing quickly. Yum has tapped Taco Bell's North American president, Scott Mezvinsky, as the new chief executive of KFC, starting in March.
Pizza Hut, the laggard of Yum's portfolio, reported same-store sales declines of 1% for the quarter. The pizza chain's U.S. same-store sales fell 2%, while its international business reported flat same-store sales.
""In the U.S., sales remained under pressure due to more value competition across both the QSR industry and the pizza category,"" Yum CEO David Gibbs said on the company's conference call. ""We've seen that everyday value offerings such as the $7 Deal Lovers effectively drive repeat visits from existing consumers. However, to attract lighter, lapsed consumers, we must lean further into disruptive and distinctive value promotions.""
Yum opened 1,804 new restaurants during the quarter, growing its unit count by 5%.
The company is also rolling out Byte, its proprietary artificial intelligence-driven software for Pizza Hut, Taco Bell and KFC. For example, the tech makes it easier for consumers to place digital orders and reduces complexity in the kitchen for employees, executives said.
""We're giving our franchisees a much more turnkey solution that gives us more capability in terms of how we can grow,"" Gibbs said."
Peloton shares surge 12% as it edges toward profitability,https://www.cnbc.com/2025/02/06/peloton-pton-q2-2025-earnings.html,Retail,Feb 6 20257:17 AM EST,"
In this article
Peloton told investors Thursday it still has a ""steep hill to climb"" to achieve profitable growth under its new CEO and won't be ready to focus on boosting sales until it fixes its balance sheet.
The bike maker posted mixed fiscal second-quarter results, as it topped Wall Street's sales estimates but lost more than expected as it continued its efforts to make its costly hardware business more profitable.
The company also cut costs in three key areas that it has faced criticism for spending too much on – marketing, administrative costs, and research and development – leading it to blow away analyst expectations for adjusted EBITDA. 
In his first earnings call as Peloton's CEO, Peter Stern said that work is only going to grow.
""While we are working on our long-term growth strategy for fiscal 26 and beyond, our financial goals for fiscal 25 and continued discipline toward improving gross margins, reducing operating costs and deleveraging our balance sheets are and will remain top priorities for me,"" said Stern.
Peloton shares closed more than 12% higher Thursday.
Here's how Peloton performed in its fiscal 2025 second quarter compared with what Wall Street was anticipating, based on a survey of analysts by LSEG:
The company's reported net loss for the three-month period that ended Dec. 31 was $92 million, or 24 cents per share, compared with $195 million, or 54 cents per share, a year earlier. 
Sales dropped to $674 million, down more than 9% from $744 million a year earlier.
Peloton issued mixed guidance that indicated sales growth is still a ways out, but may stabilize by the end of the year, as it lasers in on growing free cash flow and adjusted earnings. It's projecting sales in the current quarter to be worse-than-expected at a range between $605 million and $625 million, compared to the $652 million analysts had expected, according to LSEG.
However, it anticipates adjusted EBITDA will be between $70 million and $85 million, far better than the $50.4 million Wall Street expected, according to StreetAccount.
Peloton anticipates fiscal 2025 revenue to be roughly in line with expectations. It's forecasting sales to be between $2.43 billion and $2.48 billion, compared with estimates of $2.47 billion, according to LSEG. 
Peloton in recent years has tried to reclaim the supercharged growth that it saw during the pandemic, but now the company is moving away from that strategy in favor of profitability. Sales of its connected fitness products are still falling, and exercise buffs are back in the gym and no longer see as much use for at-home equipment.
However, it draws about $1.7 billion in recurring, high-margin subscription revenue and more than $1.1 billion in gross profit from that side of the business. If it can reduce costs, investors see potential in Peloton's strategy.
In October, Peloton announced that Stern, a former Ford executive and co-founder of Apple Fitness+, would be its next CEO and president after Barry McCarthy stepped down earlier in the year and two board members briefly took the helm. 
Peloton selected Stern in part because of his time running Ford's subscription business. He's expected to use that experience to grow member satisfaction and create new offerings that keep customers from pausing or canceling their monthly subscriptions.
During Peloton's earnings call, Stern made it clear that the company is tripling down on profitability. When asked when the company is going to start thinking about growth, he said he wasn't yet ready to talk about it but is putting in the groundwork now.
""I want to take a beat on unit economics and right sizing our costs, because both of these are foundational for us to address before we can return to growth,"" said Stern. ""We're setting the stage to be able to grow while ensuring ... we'll have the financial capacity that we need to make investments that have strong returns.""
During the quarter, Peloton blew away adjusted EBITDA expectations. It posted $58.4 million in adjusted EBITDA, more than double the $26.7 million that analysts had expected, according to StreetAccount. It managed to eke out the number even with a wider-than-expected loss per share by reducing costs in areas that investors and analysts have said Peloton was overspending in. 
Sales and marketing costs were down 34%, general and administrative expenses fell 18%, and research and development spending dropped 25%, leading total operating expenses to be down 25% compared with the year-ago period.
Still, finance chief Liz Coddington acknowledged the company still has more work to do.
""While we're pleased with this progress that we've made, we do see further opportunities for cost optimizations, and we've built a culture of cost discipline into our company. We know that our [operating expenses] as a percent of revenue is still too high overall for the long term, and especially that's true within our [general and administrative] area,"" Coddington told analysts.
""We do see multiple opportunities to right size it,"" pointing to areas where technology can substitute for manual, employee labor and corporate real estate expenses as two examples.
Peloton's holiday quarter is typically its strongest for hardware sales, but most of its revenue decline came from that side of the business, as sales fell about 21%. 
However, it is making more than it used to from selling its pricey stationary bikes and treadmills, which have long been a money-losing business. During the quarter, its connected fitness gross margin came in at 12.9%, the first time it's reached double digits in more than three years, the company said. 
Peloton also saw big gains from its seasonal partnership with Costco, which drove more Bike+ sales during its holiday quarter than any other third-party retailer it works with, such as Amazon and Dick's Sporting Goods. 
"
"Bristol Myers Squibb plans $2 billion in cost cuts by 2027, issues weak guidance",https://www.cnbc.com/health-and-science/,NaN,NaN,NaN
"Eli Lilly beats on earnings even as weight loss, diabetes drug sales fall short",https://www.cnbc.com/health-and-science/,NaN,NaN,NaN
Ford CEO calls for 'comprehensive' tariff analysis for all countries,https://www.cnbc.com/autos/,NaN,NaN,NaN
Ford beats earnings expectations but forecasts tougher year ahead,https://www.cnbc.com/2025/02/05/ford-motor-f-earnings-q4-2024.html,Autos,Feb 5 202512:00 PM EST,"
In this article
DETROIT — Ford Motor beat Wall Street's top- and bottom-line expectations for the fourth quarter but forecast a tougher year ahead for the company, as CEO Jim Farley promises improvements in vehicle quality and costs.
Shares of Ford fell 5% in after-hours trading.
Ford's forecast this year calls for adjusted earnings before interest and taxes, or EBIT, of $7 billion to $8.5 billion; adjusted free cash flow of $3.5 billion to $4.5 billion; and capital expenditures between $8 billion and $9 billion.
For 2024, Ford reported adjusted EBIT of $10.2 billion, or $1.84 in adjusted earnings per share, and net income of $5.9 billion, or $1.46 in earnings per share. The automaker reported total revenue, including its financial arm, was a company record of $185 billion, and adjusted free cash flow was $6.7 billion.
""We think it's prudent. There's a lot of external factors … but our future is really in our hands,"" Farley said Wednesday during CNBC's ""Closing Bell"" on the cautionary guidance. 
Here's how the company performed in the fourth quarter compared with average estimates compiled by LSEG:
The company said its 2025 guidance, which is in line with or lower than many analysts' expectations, ""presumes headwinds related to market factors."" They include 2% industry lower pricing and slightly lower wholesales for Ford but not additional tariffs by the Trump administration.
""Given the pause in the current tariff situation, specifically in Mexico and Canada, we are not choosing to take any actions at this time,"" Ford Chief Financial Officer Sherry House told media on Wednesday during a call. ""We're going to let this run itself out so we can better understand the potential impacts on our business.""
House said this year's forecast also takes into account expectations of a $1 billion reduction in material and warranty costs compared with last year. This follows $1.4 billion in cost reductions in 2024, which were largely offset by unexpected quality and warranty costs.
The first half of 2025 is expected to be weaker than the backend. That includes first-quarter adjusted EBIT that is projected to be roughly breakeven due to lower wholesales and less profitable vehicles being produced, including launch activity at major U.S. assembly plants in Kentucky and Michigan.
For the fourth quarter of 2024, Ford reported net income of $1.8 billion, or 45 cents per share, compared with a net loss of $526 million, or a loss of 13 cents per share, a year earlier. Adjusting for one-time items, the company reported earnings per share of 39 cents.
Ford's traditional ""Blue"" operations and ""Pro"" fleet businesses carried the automaker to profitability, as its ""Model e"" electric vehicle business lost $5.08 billion in 2024, including $1.39 billion during the fourth quarter.
Its Blue business, which includes internal combustion engine vehicles, earned $5.28 billion in 2024, a nearly $2.2 billion decrease from the year before. Pro earned more than $9 billion last year, including $1.63 billion in the fourth quarter.
For 2025, Ford is forecasting EBIT of $7.5 billion to $8 billion from Ford Pro; $3.5 billion to $4 billion for Ford Blue; and a loss of $5 billion to $5.5 billion for Ford Model e. Its Ford Credit arm is expected to post earnings of $2 billion.
Ford was under pressure to perform after crosstown rival General Motors easily topped Wall Street's fourth-quarter expectations and said its 2025 guidance is in line with or above analysts' expectations.
Ford underperformed expectations last year largely due to unexpected warranty and recall problems plaguing the company's earnings. Shares of the automaker declined nearly 20% in 2024 amid the problems, which Farley has promised to rectify."
"Trump China tariffs will affect Ford, GM vehicles and auto parts",https://www.cnbc.com/2025/02/05/trump-china-tariffs-ford-gm-vehicles.html,Autos,Feb 5 20252:35 PM EST,"
In this article
DETROIT — President Donald Trump's move Saturday to impose 10% additional tariffs on imports from China affects a small number of U.S. vehicles. But those tariffs are also hitting auto parts, which could increase already heightened vehicle prices for consumers.
The U.S. in recent years has imported from about $15.4 billion to more than $17.5 billion worth of transportation goods from China each year, including $9 billion to $10 billion per year in auto parts and accessories for vehicles and tractors, among other special purpose vehicles, according to the U.S. International Trade Commission.
The biggest impact on vehicles will be on Ford Motor's Lincoln Nautilus and General Motors' Buick Envision. Those crossovers accounted for 83,884, or 95%, of the 88,515 China-made vehicles that were sold in the U.S. last year.
""It's mainly GM and Ford that are really hit from a volume standpoint,"" said Jeff Schuster, GlobalData vice president of automotive research. ""Our domestic guys are the ones taking the brunt of this, at least for full vehicles ... but it can be muted to some extent.""
Other carmakers such as Volvo, which is owned by China's Geely and its electric vehicle spin-off Polestar, import far fewer vehicles to the U.S. They've also changed production plans to reduce the number of vehicles being imported from China. That's especially true for EVs, given the Biden administration's 100% tariff last year on such models from China.
Ford incoming CFO Sherry House said Wednesday the automaker will ""assess the situation"" of tariffs on China goods ""as it plays out, including the response from China, and evaluate whether or not it affects"" the company's import and export strategy.
Spokespeople for Ford and GM declined to comment on potential changes to production or prices for their China-made vehicles. Volvo and Polestar did not respond.
China-made vehicles for consumers only represented 0.6% of the roughly 16 million new vehicles sold in 2024 in the U.S., according to GlobalData. That's about the same as imports from the United Kingdom, Sweden and Slovakia.
Tariffs on Canada or Mexico — which GlobalData reports accounted for 23.4% of U.S. sales last year — would have a far greater impact on the U.S. car market.
""While vehicle imports are minimal from China, auto parts imports are about ~$15-20 bn per year per the US International Trade Commission, and China is a key part of the battery/storage supply chain (especially LFP batteries used in utility scale energy storage),"" Goldman Sachs analyst Mark Delaney said Sunday in an investment note.
It's unclear how much of an impact tariffs could have on batteries or raw materials for EVs, which are experiencing a slower-than-expected adoption.
But many electrified vehicles in the U.S. feature a notable percentage of components from China, according to data from the National Highway Traffic Safety Administration. They include the Genesis G80 EV (25%); Hyundai Kona EV (50%) and Hyundai Ioniq 5 N (30%; ); Kia EV9 (35%) and Niro Electric (25%); Nissan Ariya EV (40%); Toyota bZ4x EV (20%) and RAV4 PHEV (20%); and Volkswagen ID Buzz EV (25%).
Mike Jackson, executive director of strategy and research for MEMA Original Equipment Suppliers, said the auto association is ""concerned"" about tariffs in general. He said while the 10% additional tariff on China isn't as impactful as ones in North America, it increases costs.
""It's a challenge. It represents a higher cost, and that cost is going to have to be borne,"" Jackson told CNBC on Wednesday on the sidelines of the Federal Reserve Bank of Chicago's auto conference in Detroit. ""Clearly China continues to contribute very valuable content. They've optimized for electronics and a wide range of aspects.""
Whether automakers decide to pass increases in costs on to consumers, change sourcing or take other actions is yet to be seen.
Passing the costs on to consumers could be troublesome for sales. New vehicle prices remain historically elevated at around $50,000, according to Cox Automotive.
""There's not a specific item coming from China that's under this tariff that says, 'Oh, no, this is the thing that's going to mess everything up' ... but they will drive up costs,"" said Stephanie Brinley, principal automotive analyst at S&P Global Mobility. ""It plays into a broader issue, a broader problem with pricing.""
Brinley said such price increases could affect new U.S. vehicle sales, which S&P Global Mobility prior to any tariffs forecast to be 16.2 million vehicles."
"Novo Nordisk CEO says he's confident about Wegovy supply, next-generation drugs",https://www.cnbc.com/2025/02/05/novo-nordisk-earnings-ceo-lars-fruergaard-jorgensen-discusses-wegovy.html,Health and Science,Feb 5 20253:15 PM EST,"
In this article
It's been a rocky few months for Novo Nordisk.
Prescription data from IQVIA suggests Novo's obesity drug Wegovy is losing ground to rival Zepbound from Eli Lilly. Wegovy's potential successor, CagriSema, came up short of investor expectations in a closely watched Phase 3 trial. Novo's stock has fallen more than 20% over the last year, and people feared things would get even worse when the company released fourth-quarter earnings and its 2025 outlook on Wednesday.
Instead, Novo beat fourth-quarter expectations and provided a sales growth forecast between 16% and 24% – in line with the 20% Wall Street was looking for. Novo's stock rose more than 4% on Wednesday.
In an interview with CNBC, Novo Chief Executive Officer Lars Fruergaard Jorgensen brushed off concerns that Novo is falling behind Lilly.
""We are quite confident that as we move into the year and we'll be supplying more and more of the starter doses, we can see a nice step up in our volume and serving more and more patients,"" Jorgensen said. ""And the guidance we have given for this year, you can say, testifies to an underlying significant ramp in our business. So we're quite confident both in the demand in the market and also our ability to supply and compete in that market.""
People taking Wegovy start off on the lowest dose – or the starter dose – then work their way up to stronger formulations so their bodies can get used to the drug. At times, Novo has limited the amount of starter doses it shipped because it struggled to make enough of the drug and wanted to make sure people who were already on the medication could stay on it.
Novo's 2025 sales guidance implies a 30% increase in the number of patients taking one of the company's GLP-1 drugs, such as Ozempic, the company said on its earnings call.
The company also tried to reassure investors about CagriSema's effectiveness. Jorgensen said some people lost weight very quickly, and another group lost weight continuously, showing no sign of stopping by the time the trial ended, so they might need longer treatment.
""I'm very confident in the potency of the biology we have here,"" he said.
People are watching an earlier-stage treatment – amycretin – even closer. That experimental drug recently showed promising results in a phase 1b/2a trial.
Jorgensen said Novo is talking to the FDA about possibly moving straight to a phase three trial."
DOT secretary says he spoke with Elon Musk on U.S. airspace reforms,https://www.cnbc.com/airlines/,NaN,NaN,NaN
Cosm considers international expansion of immersive sports-viewing venues,https://www.cnbc.com/sport/,NaN,NaN,NaN
"Disney tops profit estimates, but starts to lose Disney+ streaming subscribers ",https://www.cnbc.com/entertainment/,NaN,NaN,NaN
